UPC	Category	Brand	Product Name	Total Weight (g)	Total weight (Oz)	Serving size (g)	Number of Servings	Sugar per serving (g)	Added sugar per serving (g)	Total Sugar (g)	Total Added Sugar (g)	Total Added Sugar (tsp)	type of sugar	Ingredients	pictures	Use Total Sugar?
051259500702	Yogurt	Stonyfield Organic 	Strawberry Lowfat	150	5.3	150	1	14	14	14	14	4	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC LOW FAT MILK, ORGANIC CANE SUGAR, ORGANIC STRAWBERRY JUICE CONCENTRATE, NATURAL FLAVOR, PECTIN, ORGANIC VEGETABLE JUICE CONCENTRATE (FOR COLOR), VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
052159000028	Yogurt	Stonyfield Organic 	Vanilla Whole Milk	907	32	227	4	22	22	88	88	22	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC WHOLE MILK, ORGANIC CANE SUGAR, ORGANIC  , PECTIN, VITAMIN D, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. PARACASEI, L. RHAMNOSUS"	"echoforgoodstorage, Vuforia"	Yes
052159000073	Yogurt	Stonyfield Organic 	Vanilla 0% Fat	907	32	227	4	23	23	92	92	23	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC NONFAT MILK, ORGANIC CANE SUGAR, ORGANIC  , PECTIN, VITAMIN D, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. PARACASEI, L. RHAMNOSUS"	"echoforgoodstorage, Vuforia"	Yes
052159000400	Yogurt	Stonyfield Organic 	Vanilla Classic	150	5.3	150	1	15	15	15	15	4	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC WHOLE MILK, ORGANIC CANE SUGAR, ORGANIC  , PECTIN, VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
052159000448	Yogurt	Stonyfield Organic 	Blueberry	150	5.3	150	1	14	14	14	14	4	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC NONFAT MILK, ORGANIC BLUEBERRIES, ORGANIC CANE SUGAR, NATURAL FLAVOR, PECTIN, ORGANIC CAROB BEAN GUM, ORGANIC FRUIT JUICE CONCENTRATE (FOR COLOR), VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
052159000578	Yogurt	Stonyfield Organic 	Fat Free Chocolate Underground	150	5.3	150	1	19	19	19	19	5	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC NONFAT MILK, ORGANIC CANE SUGAR, ORGANIC COCOA PROCESSED WITH ALKALI), PECTIN, NATURAL FLAVOR, ORGANIC  , ORGANIC CAROB BEAN GUM, VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
052159040055	Yogurt	Stonyfield Organic 	Lowfat Raspberry	150	5.3	150	1	14	14	14	14	4	Organic cane sugar	"CULTURED PASTEURIZED ORGANIC LOW FAT MILK, ORGANIC CANE SUGAR, ORGANIC RASPBERRY PUREE, NATURAL FLAVOR, ORGANIC VEGETABLE JUICE CONCENTRATE (FOR COLOR), PECTIN, VITAMIN D3 "	"echoforgoodstorage, Vuforia"	Yes
052159701154	Yogurt	Stonyfield Organic Yo Baby	3 Apple & 3 Blueberry	678	24	113	6	9	9	54	54	14	Organic cane sugar	"ORGANIC CANE SUGAR, ORGANIC APPLE PUREE, PECTIN, ORGANIC GROUND CINNAMON, NATURAL FLAVOR, VITAMIN D3, ORGANIC BLUEBERRY JUICE CONCENTRATE"	"echoforgoodstorage, Vuforia"	Yes
099482446796	Yogurt	365 Everyday Value 	Vanilla	907	32	170	5	16	9	80	45	12	Organic Cane Sugar	"organic cane sugar, organic natural vanilla flavor, pectin, vitamin D3"	"echoforgoodstorage, Vuforia"	Yes
744473000128	Yogurt	So Delicious	Strawberry	150	5.3	150	1	15	15	15	15	4	Organic cane sugar	"ORGANIC COCONUT MILK (FILTERED WATER, ORGANIC COCONUT CREAM), ORGANIC CANE SUGAR, STRAWBERRIES, RICE STARCH, LESS THAN 2% OF CALCIUM CITRATE, PECTIN, NATURAL FLAVOR, LIVE AND ACTIVE CULTURES, LOCUST BEAN GUM, VEGETABLE JUICE (FOR COLOR), CITRIC ACID, VITAMIN D2, VITAMIN B12"	"echoforgoodstorage, Vuforia"	Yes
